Date,Open,High,Low,Close,Volume,Profit/Share,Delta
10/9/2019,28.799999,28.950001,28.35,28.459999,35661500,-0.34,-0.011805556
10/10/2019,28.52,28.889999,28,28.379999,40660100,-0.140001,-0.004908871
10/11/2019,28.83,30.200001,28.809999,29.75,66256900,0.92,0.031911204
10/14/2019,29.709999,30.610001,29.379999,30.530001,44473700,0.820002,0.027600203
10/15/2019,30.700001,30.92,30.17,30.719999,41600700,0.019998,0.000651401
10/16/2019,30.6,31.41,30.530001,30.809999,42804400,0.209999,0.006862712
10/17/2019,31.299999,31.4,30.860001,31.139999,36884400,-0.16,-0.005111821
10/18/2019,31.059999,31.33,30.290001,30.969999,39681700,-0.09,-0.002897618
10/21/2019,31.5,32.259998,31.41,32.029999,52182800,0.529999,0.016825365
10/22/2019,32.060001,32.150002,31.5,31.51,36185200,-0.550001,-0.017155364
10/23/2019,31.09,31.65,30.83,31.360001,26582200,0.270001,0.008684497
10/24/2019,31.58,31.860001,31.34,31.719999,27808000,0.139999,0.004433154
10/25/2019,31.9,32.860001,31.83,32.709999,45368800,0.809999,0.025391818
10/28/2019,33.16,33.91,33.150002,33.689999,51223600,0.529999,0.015983082
10/29/2019,33.73,33.900002,32.700001,33.029999,78700100,-0.700001,-0.020753068
10/30/2019,32.93,33.34,32.029999,33.130001,78228800,0.200001,0.00607352
10/31/2019,32.98,34.34,32.82,33.93,67881600,0.95,0.028805337
11/1/2019,34.369999,35,34.099998,34.889999,64238600,0.52,0.015129474
11/4/2019,35.189999,36.450001,34.759998,36.290001,83343800,1.100002,0.031258938
11/5/2019,36.560001,37.18,35.98,36.150002,84848600,-0.409999,-0.011214414
11/6/2019,36.060001,36.48,35.52,35.93,51675100,-0.130001,-0.00360513
11/7/2019,36.52,36.990002,36.029999,36.279999,54350200,-0.240001,-0.006571769
11/8/2019,36.060001,36.580002,36,36.290001,39353900,0.23,0.006378258
11/11/2019,35.959999,36.66,35.580002,36.310001,43511100,0.350002,0.009733093
11/12/2019,36.43,37.130001,36.400002,36.709999,58664500,0.279999,0.007685946
11/13/2019,36.650002,37.959999,36.580002,37.52,67648300,0.869998,0.023738007
11/14/2019,37.509998,38.5,37.360001,38.349998,65829500,0.84,0.022394029
11/15/2019,38.939999,39.369999,38.34,38.560001,62958500,-0.379998,-0.009758552
11/18/2019,38.650002,39.990002,38.599998,39.880001,66102800,1.229999,0.031824035
11/19/2019,40.139999,41.790001,39.689999,41.290001,94373000,1.150002,0.028649776
11/20/2019,40.959999,41.75,40.07,40.98,79767900,0.020001,0.000488306
11/21/2019,40.419998,40.709999,38.639999,39.52,88069400,-0.899998,-0.022266156
11/22/2019,39.360001,39.889999,38.189999,39.150002,56931900,-0.209999,-0.00533534
11/25/2019,39.5,40.169998,39.490002,39.790001,45769500,0.290001,0.007341797
11/26/2019,39.299999,39.48,38.810001,38.990002,43603300,-0.309997,-0.007887965
11/27/2019,39.459999,39.759998,39.07,39.41,33630100,-0.049999,-0.001267081
11/29/2019,39.099998,39.52,39.02,39.150002,17609900,0.050004,0.001278875
12/2/2019,39.32,39.41,38.439999,38.73,35710200,-0.59,-0.015005086
12/3/2019,37.34,38.93,37.150002,38.900002,51556400,1.560002,0.041778307
12/4/2019,39.380001,39.82,39.130001,39.689999,44299400,0.309998,0.007871965
12/5/2019,39.950001,40.220001,39.549999,39.619999,35574000,-0.330002,-0.008260375
12/6/2019,40.099998,40.189999,39.560001,39.630001,31101400,-0.469997,-0.011720624
12/9/2019,39.459999,39.84,38.91,38.93,27928100,-0.529999,-0.013431298
12/10/2019,39.200001,39.73,38.82,39.439999,33733600,0.239998,0.006122398
12/11/2019,39.439999,39.610001,39.040001,39.470001,31698300,0.030002,0.0007607
12/12/2019,39.400002,42.619999,39.25,42.59,86878000,3.189998,0.080964412
12/13/2019,42.349998,42.950001,41.060001,41.150002,79927800,-1.199996,-0.028335208
12/16/2019,41.73,42.98,41.73,42.349998,58824900,0.619998,0.014857369
12/17/2019,42.509998,43.110001,42.150002,42.77,44852000,0.260002,0.006116255
12/18/2019,42.790001,43.060001,42.240002,42.299999,39083300,-0.490002,-0.01145132
12/19/2019,42.630001,43.34,42.599998,42.830002,45883000,0.200001,0.004691555
12/20/2019,43.439999,44.259998,43.259998,44.150002,68104700,0.710003,0.016344452
12/23/2019,44.580002,45.630001,44.389999,45.459999,55886500,0.879997,0.019739725
12/24/2019,46.099998,46.610001,45.77,46.540001,44432200,0.440003,0.009544534
12/26/2019,46.990002,47.310001,45.66,46.630001,57562800,-0.360001,-0.007661225
12/27/2019,46.849998,46.880001,45.98,46.18,36581300,-0.669998,-0.014300918
12/30/2019,46.139999,46.169998,44.66,45.52,41149700,-0.619999,-0.013437343
12/31/2019,45.07,46.09,44.919998,45.860001,31673200,0.790001,0.017528312
1/2/2020,46.860001,49.25,46.630001,49.099998,80331100,2.239997,0.047801898
1/3/2020,48.029999,49.389999,47.540001,48.599998,73127400,0.569999,0.011867562
1/6/2020,48.02,48.860001,47.860001,48.389999,47934900,0.369999,0.007705102
1/7/2020,49.349998,49.389999,48.040001,48.25,58061400,-1.099998,-0.022289727
1/8/2020,47.849998,48.299999,47.139999,47.830002,53767000,-0.019996,-0.000417889
1/9/2020,48.939999,49.959999,48.389999,48.970001,76512800,0.030002,0.000613036
1/10/2020,49.259998,49.290001,48,48.169998,44133700,-1.09,-0.022127488
1/13/2020,48.66,48.860001,48.240002,48.75,34266800,0.09,0.001849568
1/14/2020,48.639999,49.040001,47.91,48.209999,38563200,-0.43,-0.008840461
1/15/2020,48.23,49.080002,48.119999,48.549999,40199900,0.319999,0.006634854
1/16/2020,49.169998,50.310001,48.990002,49.77,58898900,0.600002,0.012202604
1/17/2020,50.200001,51.049999,49.900002,50.93,57722500,0.729999,0.014541812
1/21/2020,50.959999,51.810001,50.700001,51.049999,49095000,0.09,0.001766091
1/22/2020,51.630001,51.880001,51.200001,51.43,40772200,-0.200001,-0.003873736
1/23/2020,51.34,51.75,50.740002,51.709999,40135400,0.369999,0.007206837
1/24/2020,52.279999,52.810001,49.470001,50.349998,80004900,-1.930001,-0.036916623
1/27/2020,48.450001,49.790001,47.900002,49.259998,48878600,0.809997,0.016718204
1/28/2020,50.029999,50.849998,49.48,50.529999,62343800,0.5,0.009994004
1/29/2020,47.84,48.07,46.099998,47.509998,112349900,-0.330002,-0.006898035
1/30/2020,46.490002,48.810001,46.130001,48.779999,70460200,2.289997,0.049257838
1/31/2020,48.400002,48.580002,46.790001,47,60322400,-1.400002,-0.02892566
2/3/2020,46.400002,48.099998,46.23,48.02,47077000,1.619998,0.034913748
2/4/2020,49.209999,49.75,48.610001,49.450001,46302100,0.240002,0.004877098
2/5/2020,50.290001,50.419998,49.310001,49.84,42737100,-0.450001,-0.008948121
2/6/2020,48.799999,49.389999,47.630001,49.32,48670600,0.520001,0.010655758
2/7/2020,48.91,50.669998,48.639999,49.73,53107600,0.82,0.016765488
2/10/2020,49.470001,52.299999,49.349998,52.259998,60971700,2.789997,0.056397755
2/11/2020,53.220001,54.48,52.91,53.799999,74719100,0.579998,0.010898121
2/12/2020,54.529999,54.849998,53.529999,53.889999,45994900,-0.64,-0.011736659
2/13/2020,53.43,55.029999,53.34,54.529999,51640000,1.099999,0.020587666
2/14/2020,55.189999,55.400002,54.560001,55.310001,52365400,0.120002,0.002174343
2/18/2020,54.939999,58.130001,54.84,56.889999,70133200,1.95,0.035493266
2/19/2020,57.990002,59.27,57.509998,58.900002,58597300,0.91,0.01569236
2/20/2020,58.439999,59.02,56.150002,57.27,74203400,-1.169999,-0.020020517
2/21/2020,56.709999,56.799999,52.889999,53.279999,88271100,-3.43,-0.060483161
2/24/2020,48.18,50.279999,47.490002,49.119999,86624100,0.939999,0.019510149
2/25/2020,51.139999,51.240002,47.119999,47.57,88699400,-3.569999,-0.069808351
2/26/2020,47.700001,49.290001,47.07,47.490002,86378400,-0.209999,-0.004402495
2/27/2020,45.380001,46.240002,42.209999,44.009998,106416200,-1.370003,-0.030189576
2/28/2020,41.360001,46.150002,41.040001,45.48,100331800,4.119999,0.099613126
3/2/2020,47.419998,47.68,44.66,47.459999,102324700,0.040001,0.000843547
3/3/2020,49.029999,50.200001,45.669998,46.75,141972300,-2.279999,-0.046502122
3/4/2020,48.25,50.139999,47.209999,50.110001,93311800,1.860001,0.038549244
3/5/2020,48.68,49.720001,47.509998,48.110001,98302700,-0.569999,-0.0117091
3/6/2020,49.439999,49.540001,46.740002,48.59,124590900,-0.849999,-0.017192537
3/9/2020,43.029999,46.34,42.509998,43.27,80859800,0.240001,0.005577527
3/10/2020,45.41,45.439999,43.099998,45.380001,76228200,-0.029999,-0.000660625
3/11/2020,44.189999,45.970001,43.799999,45.700001,101601100,1.510002,0.034170673
3/12/2020,42,42.5,39,39.009998,107461500,-2.990002,-0.071190524
3/13/2020,42.200001,43.91,39.599998,43.900002,86689700,1.700001,0.040284383
3/16/2020,39.080002,43.369999,38.509998,38.709999,84545900,-0.370003,-0.009467835
3/17/2020,40.189999,42.880001,38.299999,41.880001,92741900,1.690002,0.042050312
3/18/2020,39.540001,41.950001,36.75,39.119999,106949300,-0.420002,-0.010622205
3/19/2020,39.560001,41.700001,37.689999,39.82,88939000,0.259999,0.00657227
3/20/2020,41.509998,42.48,39.580002,39.610001,106859500,-1.899997,-0.045772033
3/23/2020,40.619999,42.32,38.950001,41.639999,101704700,1.02,0.025110783
3/24/2020,44.040001,46.810001,43.990002,46.220001,106794200,2.18,0.049500453
3/25/2020,46.790001,47.880001,44.43,44.630001,93760400,-2.16,-0.046163709
3/26/2020,45.779999,47.5,45.400002,47.5,73680200,1.720001,0.037571014
3/27/2020,46.32,47.98,45.900002,46.580002,74599200,0.260002,0.005613169
3/30/2020,47.240002,48.459999,46.66,47.860001,68486600,0.619999,0.013124449
3/31/2020,47.93,48.529999,45.16,45.48,83483700,-2.45,-0.051116211
4/1/2020,44.18,46.849998,43.16,43.66,92083100,-0.52,-0.011770032
4/2/2020,43.400002,45.279999,43.099998,44.490002,79024100,1.09,0.025115206
4/3/2020,44.299999,44.84,41.700001,42.59,79335000,-1.709999,-0.03860043
4/6/2020,44.299999,47.580002,44.060001,47.52,82294000,3.220001,0.072686254
4/7/2020,48.959999,49.650002,46.68,47.560001,102098700,-1.399998,-0.028594731
4/8/2020,48.07,49,47.610001,48.790001,64930800,0.720001,0.014978178
4/9/2020,49.650002,50.25,47.720001,48.380001,80357400,-1.270001,-0.025579072
4/13/2020,48.470001,51.07,48.23,50.939999,64290100,2.469998,0.050959314
4/14/2020,52.240002,55.139999,52.110001,54.93,85306800,2.689998,0.051493068
4/15/2020,53.73,55.57,53.41,54.990002,83814000,1.260002,0.023450623
